DISTRICT       , STATE_CODE, PR_NAME               , _mean            , Nitrogenmean      , organicmean     , Phosphorousmean  , Phvaluemean
ACHHAM         ,          7, Sudurpashchim Province, 340.802369515909 , 0.157029261043055 , 3.00074424062216,  50.6899062359667, 6.16690186329933
ARGHAKHANCHI   ,          5, Lumbini Province      , 326.970778707167 , 0.113508838927416 , 2.90825089048057, 124.945358732945 , 6.3781995512863
BAGLUNG        ,          4, Gandaki Province      , 301.71833667512  , 0.137939779891388 , 2.87585215197176, 162.636879612817 , 5.99541631943854
BAITADI        ,          7, Sudurpashchim Province, 546.882015889854 , 0.102074697927388 , 4.26701608064358, 111.017300274489 , 6.65541103098621
BAJHANG        ,          7, Sudurpashchim Province, 362.654876253919 , 0.245082961239427 , 4.79692400785621,  43.4871587045748, 6.37618445095215
BAJURA         ,          7, Sudurpashchim Province, 420.803985473592 , 0.186727956908787 , 3.82257966722719,  46.7148833740073, 6.57536184498176
BANKE          ,          5, Lumbini Province      , 226.092447656513 , 0.0984524809801277, 1.80850183834179, 137.272537912381 , 7.27620145407441
BARA           ,          2, Madhesh Province      , 155.885986185727 , 0.103949104410351 , 2.06294401295367,  46.9307805000198, 6.82882429435896
BARDIYA        ,          5, Lumbini Province      , 239.769610604303 , 0.101674459195698 , 1.80130098294358, 106.86149249042  , 7.33923232386757
BHAKTAPUR      ,          3, Bagmati Province      , 284.764700359283 , 0.145116330720101 , 3.03651011315786, 172.980376357072 , 5.63727564669856
BHOJPUR        ,          1, Koshi Province        , 406.055410901516 , 0.149693801315416 , 3.35905832362685, 129.665298614515 , 5.93582854815821
CHITAWAN       ,          3, Bagmati Province      , 154.407093624932 , 0.112607889948666 , 3.59765543871444, 105.287410468856 , 6.50294870521491
DADELDHURA     ,          7, Sudurpashchim Province, 378.091885821295 , 0.13550564802019  , 3.14551280083613,  84.1050897817896, 6.43620955565288
DAILEKH        ,          6, Karnali Province      , 341.749402410875 , 0.141763840157547 , 2.8254021574917 ,  95.1133880595949, 6.08103721497698
DANG           ,          5, Lumbini Province      , 463.999244524842 , 0.11398975386498  , 2.20078447336562, 168.800181438686 , 6.93479637694548
DARCHULA       ,          7, Sudurpashchim Province, 361.133637241026 , 0.224041434494121 , 4.90693167542509,  64.8658877161033, 6.85122113018199
DHADING        ,          3, Bagmati Province      , 189.95853097152  , 0.184161917520656 , 3.12927382404872,  57.1033023585447, 6.02225089043977
DHANKUTA       ,          1, Koshi Province        , 416.141671901754 , 0.132265571896405 , 3.02599695520061, 104.261439764489 , 6.28033250308557
DHANUSHA       ,          2, Madhesh Province      , 117.777688154344 , 0.0735737234147109, 1.16454522040253,  35.5936244754015, 6.31621295115148
DOLAKHA        ,          3, Bagmati Province      , 267.905931334118 , 0.176616451923932 , 3.37109601314696,  83.1804857363801, 5.55297184695014
DOLPA          ,          6, Karnali Province      , 461.043211815638 , 0.228555651369432 , 4.42490712685912, 145.386666210252 , 6.69125391514782
DOTI           ,          7, Sudurpashchim Province, 332.010178875298 , 0.145198797458341 , 2.95759711654838,  68.0059784101824, 6.34229682480316
GORKHA         ,          4, Gandaki Province      , 255.023310534875 , 0.277566787372248 , 3.01872690749044,  53.80943504015  , 5.81304031705723
GULMI          ,          5, Lumbini Province      , 256.489081123057 , 0.148138481468956 , 3.26498679985971, 162.218243641452 , 6.41361821607527
HUMLA          ,          6, Karnali Province      , 271.595296756269 , 0.15275020661515  , 3.95251302206632, 150.338657875784 , 7.07807836321831
ILAM           ,          1, Koshi Province        , 379.664216725838 , 0.137195611548443 , 3.01750567665439, 157.492232402046 , 6.04871962316365
JAJARKOT       ,          6, Karnali Province      , 431.388658320394 , 0.173539378601211 , 3.21414716599659, 149.671178851275 , 6.4434617714514
JHAPA          ,          1, Koshi Province        , 190.55327224687  , 0.104507366958155 , 2.38279226645097,  51.1671486355456, 5.60350384981523
JUMLA          ,          6, Karnali Province      , 454.209681142738 , 0.187106771067978 , 3.87881310172361,  51.9879852131891, 6.00101599634949
KAVRE          ,          3, Bagmati Province      , 298.620999192077 , 0.152830672384332 , 3.18282895525467,  89.9861738568235, 5.99011701081785
KAILALI        ,          7, Sudurpashchim Province, 198.395355728067 , 0.102388554938699 , 1.91030792930229,  66.6993388544533, 7.34758909198902
KALIKOT        ,          6, Karnali Province      , 444.087151248562 , 0.164069342785738 , 3.36061834015338,  45.1702075502736, 6.52851296859501
