ID,PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,DISTRICT_C,SHAPE_LENG,SHAPE_AREA,OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng_2,Shape_Le_1,Shape_Area_2
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,519,519,0.15903800000,5.61106000000,"17",1738.07900000000,519,1803,8231,48.40000000000,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",552121.38611299999,5.29167786411,0.16015071790
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,527,527,0.00131300000,0.42302700000,glacier,14.32900000000,527,3735,7194,33.20000000000,387,0,GG,GG,GG,GG,GG,44374.85485850001,0.41835273904,0.00132223605
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,537,537,0.00488800000,1.20812200000,glacier,53.38600000000,537,3735,7194,33.20000000000,387,0,GG,GG,GG,GG,GG,119042.55057100000,1.15312182755,0.00523449719
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,558,558,0.00149800000,0.31294700000,"17",16.35800000000,558,1803,8231,48.40000000000,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",32417.79129060000,0.31072243565,0.00149755530
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,559,559,0.13048600000,9.44094200000,"15",1428.98200000000,559,934,5649,56.90000000000,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",965042.71843000001,9.25121981063,0.13135952368
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,562,562,0.00119400000,0.36856400000,glacier,13.03700000000,562,3735,7194,33.20000000000,387,0,GG,GG,GG,GG,GG,38572.76697880000,0.36454449699,0.00119355975
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,570,570,0.00154000000,0.57071100000,"16",16.83200000000,570,2262,5888,38.80000000000,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",59436.53629880000,0.56174434146,0.00155404895
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,577,577,0.00103600000,0.13763300000,"17",11.31800000000,577,1803,8231,48.40000000000,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",14315.34979360000,0.13663814972,0.00103407574
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,620,620,0.00197800000,0.44563100000,glacier,21.63400000000,620,3735,7194,33.20000000000,387,0,GG,GG,GG,GG,GG,45932.99904320000,0.44150219071,0.00197059363
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,628,628,0.03580900000,2.79860700000,"14",392.19900000000,628,550,4124,57.00000000000,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",288373.96615699999,2.75981460844,0.03582182910
1005,1,TAPLEJUNG,Gaunpalika,Phaktanglung,1,229604.80376300000,1858505894.85999989510,652,652,0.00139300000,0.38617300000,"16",15.24400000000,652,2262,5888,38.80000000000,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",39271.07445980000,0.38049844961,0.00139723526
1006,1,TAPLEJUNG,Nagarpalika,Phungling,1,66904.31402360000,125565841.17700000107,559,559,0.13048600000,9.44094200000,"15",1428.98200000000,559,934,5649,56.90000000000,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",965042.71843000001,9.25121981063,0.13135952368
