District       , Province              , Elevation_Min     , Elevation_Max    , Slope_Median      , Landform, Parent_Material, Dominant_Soil, area    , longitude, latitude
RAMECHHAP      , Bagmati Province      ,  402.5            , 6837.0185546875  , 1720.99377441406  , TM      , MA2            , LPi          , 1564.314,    86.18 ,   27.513
SOLUKHUMBU     , Koshi Province        ,  572.187255859375 , 8723.734375      , 4199.30297851562  , TM      , MA2            , LPi          , 3354.998,    86.723,   27.71
PARBAT         , Gandaki Province      ,  526.0            , 3286.6259765625  , 1395.09533691406  , TM      , MA2            , CMu          ,  541.664,    83.681,   28.211
DADELDHURA     , Sudurpashchim Province,  271.5            , 2662.40698242188 , 1260.76049804688  , TM      , MA1            , CMe          , 1502.414,    80.491,   29.223
KALIKOT        , Karnali Province      ,  728.16845703125  , 4458.55029296875 , 2772.01440429688  , TM      , MA2            , RGe          , 1640.156,    81.754,   29.195
DANG           , Lumbini Province      ,  186.617767333984 , 2058.49633789062 ,  593.523529052734 , TH      , SC2            , RGd          , 3059.26 ,    82.404,   27.969
NUWAKOT        , Bagmati Province      ,  412.0            , 5062.8427734375  , 1334.30712890625  , TM      , MA2            , RGe          , 1193.274,    85.238,   27.915
GORKHA         , Gandaki Province      ,  228.5            , 7983.09521484375 , 3185.54467773438  , TM      , MA2            , LPi          , 3647.014,    84.792,   28.319
RUPANDEHI      , Lumbini Province      ,   86.0            , 1142.05590820312 ,  112.945381164551 , TH      , SC2            , RGd          , 1304.709,    83.392,   27.576
DOTI           , Sudurpashchim Province,  304.0            , 3279.84936523438 , 1442.28552246094  , TM      , MA2            , RGe          , 2050.89 ,    80.896,   29.17
SANKHUWASABHA  , Koshi Province        ,  250.0            , 8205.7626953125  , 2620.14794921875  , TM      , MA2            , LPi          , 3470.433,    87.281,   27.582
SINDHULI       , Bagmati Province      ,  132.0            , 2360.17016601562 ,  648.122650146484 , SV      , UF2            , CMg          , 2484.937,    85.946,   27.201
DHANKUTA       , Koshi Province        ,  118.757606506348 , 2694.3544921875  , 1034.15002441406  , SV      , UF2            , CMg          ,  898.98 ,    87.333,   26.991
