Crop,N_samples,N_features_selected,LOYO_R2,LOYO_RMSE
Barley,364,65,0.2661174242071479,0.35091463751121243
Maize,384,75,0.47413135139113627,0.6075047417058254
Millet,352,5,0.3221198894607048,0.2087874655857277
Wheat,384,75,0.7783410760017786,0.3796702545031967
