Crop,N_samples,N_features_selected,LOYO_R2,LOYO_RMSE
Barley,364,5,0.11424715845132416,0.38551783370052206
Maize,384,26,0.46137804069578436,0.6148271821820305
Millet,352,6,0.1854903754191427,0.2288632637415661
Wheat,384,16,0.6881270574128493,0.4503527427436779
