Crop,N_samples,N_features_selected,LOYO_R2,LOYO_RMSE
Barley,364,6,0.1279292740058494,0.3825287223100267
Maize,384,16,0.47146764167219535,0.6090414108474124
Millet,352,6,0.19847149011865994,0.22703220335693755
Wheat,384,16,0.689858283365238,0.44910103531515455
