Crop,N_samples,N_features_selected,LOYO_R2,LOYO_RMSE
Barley,364,26,0.22149398343805615,0.36142582617423463
Maize,384,16,0.5872836941811783,0.5381915143581651
Millet,352,11,0.3962287881422287,0.19704443670301125
Wheat,384,21,0.8223081019455767,0.33993648252020825
