Province     , District         , Crop     , Area_Ha, Production_Mt, Yield_MtHa, Year_BS, Year_AD
SUDURPASHCHIM, BAJURA           , Buckwheat, 255.0  , 267.0        , 1.05      , 2078/79, 2021/22
SUDURPASHCHIM, BAJHANG          , Millet   , 2761.0 , 3525.0       , 1.28      , 2078/79, 2021/22
SUDURPASHCHIM, BAJHANG          , Barley   , 2354.0 , 4102.0       , 1.74      , 2078/79, 2021/22
SUDURPASHCHIM, BAJHANG          , Buckwheat, 105.0  , 143.0        , 1.36      , 2078/79, 2021/22
SUDURPASHCHIM, DARCHULA         , Millet   , 1263.0 , 1589.0       , 1.26      , 2078/79, 2021/22
SUDURPASHCHIM, DARCHULA         , Barley   , 1087.0 , 1598.0       , 1.47      , 2078/79, 2021/22
SUDURPASHCHIM, DARCHULA         , Buckwheat, 109.0  , 113.0        , 1.04      , 2078/79, 2021/22
SUDURPASHCHIM, ACHHAM           , Millet   , 3857.0 , 4912.0       , 1.27      , 2078/79, 2021/22
SUDURPASHCHIM, ACHHAM           , Barley   , 412.0  , 455.0        , 1.1       , 2078/79, 2021/22
SUDURPASHCHIM, ACHHAM           , Buckwheat, 83.0   , 76.0         , 0.92      , 2078/79, 2021/22
SUDURPASHCHIM, DOTI             , Millet   , 4570.0 , 5833.0       , 1.28      , 2078/79, 2021/22
SUDURPASHCHIM, DOTI             , Barley   , 240.0  , 321.0        , 1.34      , 2078/79, 2021/22
SUDURPASHCHIM, DOTI             , Buckwheat, 14.0   , 14.0         , 0.96      , 2078/79, 2021/22
SUDURPASHCHIM, BAITADI          , Millet   , 354.0  , 408.0        , 1.15      , 2078/79, 2021/22
SUDURPASHCHIM, BAITADI          , Barley   , 671.0  , 812.0        , 1.21      , 2078/79, 2021/22
SUDURPASHCHIM, BAITADI          , Buckwheat, 17.0   , 20.0         , 1.18      , 2078/79, 2021/22
SUDURPASHCHIM, DADELDHURA       , Millet   , 572.0  , 647.0        , 1.13      , 2078/79, 2021/22
SUDURPASHCHIM, DADELDHURA       , Barley   , 205.0  , 355.0        , 1.73      , 2078/79, 2021/22
SUDURPASHCHIM, DADELDHURA       , Buckwheat, 34.0   , 45.0         , 1.32      , 2078/79, 2021/22
SUDURPASHCHIM, KAILALI          , Millet   , 356.0  , 404.0        , 1.13      , 2078/79, 2021/22
SUDURPASHCHIM, KAILALI          , Barley   , 410.0  , 469.0        , 1.14      , 2078/79, 2021/22
SUDURPASHCHIM, KAILALI          , Buckwheat, 27.0   , 34.0         , 1.26      , 2078/79, 2021/22
SUDURPASHCHIM, KANCHANPUR       , Millet   , N/A    , N/A          , N/A       , 2078/79, 2021/22
SUDURPASHCHIM, KANCHANPUR       , Barley   , 133.0  , 232.0        , 1.74      , 2078/79, 2021/22
SUDURPASHCHIM, KANCHANPUR       , Buckwheat, N/A    , N/A          , N/A       , 2078/79, 2021/22
