Province,District,Crop,Area_Ha,Production_Mt,Yield_MtHa,Year_BS,Year_AD
KOSHI,TAPLEJUNG,Maize,11210,39908,3.56,2079/80,2022/23
KOSHI,TAPLEJUNG,Wheat,1537,2875,1.87,2079/80,2022/23
KOSHI,SANKHUWASABHA,Maize,12455,31138,2.5,2079/80,2022/23
KOSHI,SANKHUWASABHA,Wheat,715,1650,2.31,2079/80,2022/23
KOSHI,SOLUKHUMBU,Maize,13770,33187,2.41,2079/80,2022/23
KOSHI,SOLUKHUMBU,Wheat,2665,5306,1.99,2079/80,2022/23
KOSHI,PANCHTHAR,Maize,18658,42913,2.3,2079/80,2022/23
KOSHI,PANCHTHAR,Wheat,3902,6476,1.66,2079/80,2022/23
KOSHI,ILLAM,Maize,32995,126370,3.83,2079/80,2022/23
KOSHI,ILLAM,Wheat,4580,11679,2.55,2079/80,2022/23
KOSHI,TERHATHUM,Maize,12907,30977,2.4,2079/80,2022/23
KOSHI,TERHATHUM,Wheat,2399,4796,2.0,2079/80,2022/23
KOSHI,DHANKUTA,Maize,N/A,N/A,N/A,2079/80/,2022/23
KOSHI,DHANKUTA,Wheat,N/A,N/A,N/A,2079/80,2022/23
KOSHI,BHOJPUR,Maize,32812,77108,2.35,2079/80,2022/23
KOSHI,BHOJPUR,Wheat,414,745,1.8,2079/80,2022/23
KOSHI,KHOTANG,Maize,31845,56684,1.78,2079/80,2022/23
KOSHI,KHOTANG,Wheat,3530,6531,1.85,2079/80,2022/23
KOSHI,OKHALDHUNGA,Maize,12400,40920,3.3,2079/80,2022/23
KOSHI,OKHALDHUNGA,Wheat,2145,3330,1.55,2079/80,2022/23
KOSHI,UDAYAPUR,Maize,17842,43891,2.46,2079/80,2022/23
KOSHI,UDAYAPUR,Wheat,5130,12825,2.5,2079/80,2022/23
KOSHI,JHAPA,Maize,44250,225675,5.1,2079/80,2022/23
KOSHI,JHAPA,Wheat,5000,13505,2.7,2079/80,2022/23
KOSHI,MORANG,Maize,20052,132343,6.6,2079/80,2022/23
KOSHI,MORANG,Wheat,11755,33687,2.87,2079/80,2022/23
KOSHI,SUNSARI,Maize,9674,45701,4.72,2079/80,2022/23
KOSHI,SUNSARI,Wheat,12127,41195,3.4,2079/80,2022/23
MADHESH,SAPTARI,Maize,6589,23211,3.52,2079/80,2022/23
MADHESH,SAPTARI,Wheat,19400,70500,3.63,2079/80,2022/23
MADHESH,SIRAHA,Maize,3755,14007,3.73,2079/80,2022/23
MADHESH,SIRAHA,Wheat,14230,52800,3.71,2079/80,2022/23
MADHESH,DHANUSHA,Maize,3476,11343,3.26,2079/80,2022/23
MADHESH,DHANUSHA,Wheat,34000,115600,3.4,2079/80,2022/23
MADHESH,MAHOTTARI,Maize,9754,29783,3.05,2079/80,2022/23
MADHESH,MAHOTTARI,Wheat,29320,98640,3.36,2079/80,2022/23
MADHESH,SARLAHI,Maize,10205,35831,3.51,2079/80,2022/23
MADHESH,SARLAHI,Wheat,23367,78279,3.35,2079/80,2022/23
MADHESH,RAUTAHAT,Maize,3513,12821,3.65,2079/80,2022/23
MADHESH,RAUTAHAT,Wheat,15900,57000,3.58,2079/80,2022/23
MADHESH,BARA,Maize,11940,46653,3.91,2079/80,2022/23
MADHESH,BARA,Wheat,29700,103950,3.5,2079/80,2022/23
MADHESH,PARSA,Maize,4189,17166,4.1,2079/80,2022/23
MADHESH,PARSA,Wheat,26065,97612,3.74,2079/80,2022/23
BAGMATI,DOLAKHA,Maize,5844,17590,3.01,2079/80,2022/23
BAGMATI,DOLAKHA,Wheat,4243,7553,1.78,2079/80,2022/23
BAGMATI,SINDHUPALCHOK,Maize,26298,78894,3.0,2079/80,2022/23
