Province,District,Crop,Area_Ha,Production_Mt,Yield_MtHa,Year_BS,Year_AD
BAGMATI,DHADING,Maize,19300.0,48250.0,2.5,2080/81,2023/24
BAGMATI,DHADING,Wheat,3620.0,8145.0,2.25,2080/81,2023/24
BAGMATI,MAKWANPUR,Maize,19069.0,64072.0,3.36,2080/81,2023/24
BAGMATI,MAKWANPUR,Wheat,1704.0,4976.0,2.92,2080/81,2023/24
BAGMATI,CHITWAN,Maize,17110.0,68611.0,4.01,2080/81,2023/24
BAGMATI,CHITWAN,Wheat,4711.0,15593.0,3.31,2080/81,2023/24
GANDAKI,MANANG,Maize,135.0,267.0,1.98,2080/81,2023/24
GANDAKI,MANANG,Wheat,110.0,231.0,2.1,2080/81,2023/24
GANDAKI,MUSTANG,Maize,41.0,61.0,1.48,2080/81,2023/24
GANDAKI,MUSTANG,Wheat,115.0,430.0,3.73,2080/81,2023/24
GANDAKI,GORKHA,Maize,18005.0,46815.0,2.6,2080/81,2023/24
GANDAKI,GORKHA,Wheat,2500.0,5925.0,2.37,2080/81,2023/24
GANDAKI,LAMJUNG,Maize,15570.0,33631.0,2.16,2080/81,2023/24
GANDAKI,LAMJUNG,Wheat,13.0,31.0,2.38,2080/81,2023/24
GANDAKI,TANAHU,Maize,22195.0,73243.0,3.3,2080/81,2023/24
GANDAKI,TANAHU,Wheat,1150.0,2887.0,2.51,2080/81,2023/24
GANDAKI,KASKI,Maize,12343.0,36205.0,2.93,2080/81,2023/24
GANDAKI,KASKI,Wheat,6010.0,14725.0,2.45,2080/81,2023/24
GANDAKI,PARBAT,Maize,13600.0,33120.0,2.44,2080/81,2023/24
GANDAKI,PARBAT,Wheat,2220.0,5220.0,2.35,2080/81,2023/24
GANDAKI,SYANGJA,Maize,18048.0,57754.0,3.2,2080/81,2023/24
GANDAKI,SYANGJA,Wheat,4175.0,7515.0,1.8,2080/81,2023/24
GANDAKI,MYAGDI,Maize,9200.0,28520.0,3.1,2080/81,2023/24
GANDAKI,MYAGDI,Wheat,2310.0,5336.0,2.31,2080/81,2023/24
GANDAKI,BAGLUNG,Maize,15600.0,54600.0,3.5,2080/81,2023/24
GANDAKI,BAGLUNG,Wheat,6000.0,15082.0,2.51,2080/81,2023/24
GANDAKI,NAWALPARASI EAST,Maize,4562.0,13585.0,2.98,2080/81,2023/24
GANDAKI,NAWALPARASI EAST,Wheat,7028.0,20240.0,2.88,2080/81,2023/24
LUMBINI,NAWALPARASI WEST,Maize,3901.0,15597.0,4.0,2080/81,2023/24
LUMBINI,NAWALPARASI WEST,Wheat,8595.0,27246.0,3.17,2080/81,2023/24
LUMBINI,RUPANDEHI,Maize,2639.0,10985.0,4.16,2080/81,2023/24
LUMBINI,RUPANDEHI,Wheat,27356.0,108490.0,3.97,2080/81,2023/24
LUMBINI,KAPILBASTU,Maize,1390.0,5675.0,4.08,2080/81,2023/24
LUMBINI,KAPILBASTU,Wheat,31735.0,111072.0,3.5,2080/81,2023/24
LUMBINI,PALPA,Maize,21862.0,75661.0,3.46,2080/81,2023/24
LUMBINI,PALPA,Wheat,5765.0,16430.0,2.85,2080/81,2023/24
LUMBINI,GULMI,Maize,22418.0,77173.0,3.44,2080/81,2023/24
LUMBINI,GULMI,Wheat,6370.0,19005.0,2.98,2080/81,2023/24
LUMBINI,ARGHAKHANCHI,Maize,15200.0,53677.0,3.53,2080/81,2023/24
LUMBINI,ARGHAKHANCHI,Wheat,4665.0,13706.0,2.94,2080/81,2023/24
LUMBINI,ROLPA,Maize,12700.0,39724.0,3.13,2080/81,2023/24
LUMBINI,ROLPA,Wheat,8490.0,21225.0,2.5,2080/81,2023/24
LUMBINI,DANG,Maize,24985.0,86475.0,3.46,2080/81,2023/24
LUMBINI,DANG,Wheat,11530.0,35743.0,3.1,2080/81,2023/24
LUMBINI,BANKE,Maize,8783.0,32575.0,3.71,2080/81,2023/24
LUMBINI,BANKE,Wheat,21515.0,73090.0,3.4,2080/81,2023/24
