Province,District,Crop,Area_Ha,Production_Mt,Yield_MtHa,Year_BS,Year_AD
KOSHI,TAPLEJUNG,Maize,9598,26874,2.8,2076/77,2019/20
KOSHI,TAPLEJUNG,Wheat,1535,3546,2.31,2076/77,2019/20
KOSHI,SANKHUWASABHA,Maize,12858,28147,2.19,2076/77,2019/20
KOSHI,SANKHUWASABHA,Wheat,715,1681,2.35,2076/77,2019/20
KOSHI,SOLUKHUMBU,Maize,14050,35309,2.51,2076/77,2019/20
KOSHI,SOLUKHUMBU,Wheat,2669,5603,2.1,2076/77,2019/20
KOSHI,PANCHTHAR,Maize,18983,41103,2.17,2076/77,2019/20
KOSHI,PANCHTHAR,Wheat,3904,8433,2.16,2076/77,2019/20
KOSHI,ILLAM,Maize,33815,126458,3.74,2076/77,2019/20
KOSHI,ILLAM,Wheat,4608,13822,3.0,2076/77,2019/20
KOSHI,TERHATHUM,Maize,12117,32615,2.69,2076/77,2019/20
KOSHI,TERHATHUM,Wheat,2400,5064,2.11,2076/77,2019/20
KOSHI,DHANKUTA,Maize,14004,45647,3.26,2076/77,2019/20
KOSHI,DHANKUTA,Wheat,1302,2930,2.25,2076/77,2019/20
KOSHI,BHOJPUR,Maize,36121,99213,2.75,2076/77,2019/20
KOSHI,BHOJPUR,Wheat,400,820,2.05,2076/77,2019/20
KOSHI,KHOTANG,Maize,42945,98986,2.3,2076/77,2019/20
KOSHI,KHOTANG,Wheat,5030,11569,2.3,2076/77,2019/20
KOSHI,OKHALDHUNGA,Maize,12400,35844,2.89,2076/77,2019/20
KOSHI,OKHALDHUNGA,Wheat,2145,4569,2.13,2076/77,2019/20
KOSHI,UDAYAPUR,Maize,17907,42350,2.37,2076/77,2019/20
KOSHI,UDAYAPUR,Wheat,5130,14108,2.75,2076/77,2019/20
KOSHI,JHAPA,Maize,39302,158985,4.05,2076/77,2019/20
KOSHI,JHAPA,Wheat,7125,23014,3.23,2076/77,2019/20
KOSHI,MORANG,Maize,17255,68286,3.96,2076/77,2019/20
KOSHI,MORANG,Wheat,12639,39434,3.12,2076/77,2019/20
KOSHI,SUNSARI,Maize,8949,27900,3.12,2076/77,2019/20
KOSHI,SUNSARI,Wheat,12959,42117,3.25,2076/77,2019/20
MADHESH,SAPTARI,Maize,3922,12517,3.19,2076/77,2019/20
MADHESH,SAPTARI,Wheat,15314,54343,3.55,2076/77,2019/20
MADHESH,SIRAHA,Maize,3991,11993,3.01,2076/77,2019/20
MADHESH,SIRAHA,Wheat,11781,41287,3.5,2076/77,2019/20
MADHESH,DHANUSHA,Maize,3469,10989,3.17,2076/77,2019/20
MADHESH,DHANUSHA,Wheat,36374,120724,3.32,2076/77,2019/20
MADHESH,MAHOTTARI,Maize,9733,28853,2.96,2076/77,2019/20
MADHESH,MAHOTTARI,Wheat,24373,74671,3.06,2076/77,2019/20
MADHESH,SARLAHI,Maize,11276,37620,3.34,2076/77,2019/20
MADHESH,SARLAHI,Wheat,22479,76592,3.41,2076/77,2019/20
MADHESH,RAUTAHAT,Maize,3506,12421,3.54,2076/77,2019/20
MADHESH,RAUTAHAT,Wheat,14987,55831,3.73,2076/77,2019/20
MADHESH,BARA,Maize,11915,44229,3.71,2076/77,2019/20
MADHESH,BARA,Wheat,27137,97438,3.59,2076/77,2019/20
MADHESH,PARSA,Maize,4580,17018,3.72,2076/77,2019/20
MADHESH,PARSA,Wheat,21992,80822,3.68,2076/77,2019/20
BAGMATI,DOLAKHA,Maize,5718,16684,2.92,2076/77,2019/20
BAGMATI,DOLAKHA,Wheat,4248,8454,1.99,2076/77,2019/20
BAGMATI,SINDHUPALCHOK,Maize,25168,70470,2.8,2076/77,2019/20
BAGMATI,SINDHUPALCHOK,Wheat,6908,13954,2.02,2076/77,2019/20
BAGMATI,RASUWA,Maize,2298,6088,2.65,2076/77,2019/20
BAGMATI,RASUWA,Wheat,689,1385,2.01,2076/77,2019/20
BAGMATI,RAMECHAP,Maize,21686,62121,2.86,2076/77,2019/20
BAGMATI,RAMECHAP,Wheat,3875,9106,2.35,2076/77,2019/20
BAGMATI,SINDHULI,Maize,25657,81197,3.16,2076/77,2019/20
BAGMATI,SINDHULI,Wheat,6875,19388,2.82,2076/77,2019/20
BAGMATI,KAVRE,Maize,24823,80137,3.23,2076/77,2019/20
BAGMATI,KAVRE,Wheat,8860,26591,3.0,2076/77,2019/20
BAGMATI,BHAKTAPUR,Maize,1951,8377,4.29,2076/77,2019/20
BAGMATI,BHAKTAPUR,Wheat,2094,10488,5.01,2076/77,2019/20
BAGMATI,LALITPUR,Maize,9203,34659,3.77,2076/77,2019/20
BAGMATI,LALITPUR,Wheat,2512,8671,3.45,2076/77,2019/20
BAGMATI,KATHMANDU,Maize,5532,23192,4.19,2076/77,2019/20
BAGMATI,KATHMANDU,Wheat,2075,9155,4.41,2076/77,2019/20
BAGMATI,NUWAKOT,Maize,16218,62235,3.84,2076/77,2019/20
BAGMATI,NUWAKOT,Wheat,4165,13745,3.3,2076/77,2019/20
BAGMATI,DHADING,Maize,20860,62939,3.02,2076/77,2019/20
BAGMATI,DHADING,Wheat,4560,13602,2.98,2076/77,2019/20
BAGMATI,MAKWANPUR,Maize,26169,85580,3.27,2076/77,2019/20
BAGMATI,MAKWANPUR,Wheat,3929,14532,3.7,2076/77,2019/20
BAGMATI,CHITWAN,Maize,5986,24083,4.02,2076/77,2019/20
BAGMATI,CHITWAN,Wheat,5088,19360,3.81,2076/77,2019/20
GANDAKI,MANANG,Maize,70,111,1.59,2076/77,2019/20
GANDAKI,MANANG,Wheat,202,305,1.51,2076/77,2019/20
GANDAKI,MUSTANG,Maize,565,967,1.71,2076/77,2019/20
GANDAKI,MUSTANG,Wheat,535,887,1.66,2076/77,2019/20
GANDAKI,GORKHA,Maize,17703,47656,2.69,2076/77,2019/20
GANDAKI,GORKHA,Wheat,3561,8298,2.33,2076/77,2019/20
GANDAKI,LAMJUNG,Maize,10098,26397,2.61,2076/77,2019/20
GANDAKI,LAMJUNG,Wheat,1596,3910,2.45,2076/77,2019/20
GANDAKI,TANAHU,Maize,22835,73594,3.22,2076/77,2019/20
GANDAKI,TANAHU,Wheat,1643,4119,2.51,2076/77,2019/20
GANDAKI,KASKI,Maize,14111,37149,2.63,2076/77,2019/20
GANDAKI,KASKI,Wheat,5650,13061,2.31,2076/77,2019/20
GANDAKI,PARBAT,Maize,13958,34843,2.5,2076/77,2019/20
GANDAKI,PARBAT,Wheat,2656,6772,2.55,2076/77,2019/20
GANDAKI,SYANGJA,Maize,26275,96452,3.67,2076/77,2019/20
GANDAKI,SYANGJA,Wheat,5098,14509,2.85,2076/77,2019/20
GANDAKI,MYAGDI,Maize,9180,31149,3.39,2076/77,2019/20
GANDAKI,MYAGDI,Wheat,2812,7116,2.53,2076/77,2019/20
GANDAKI,BAGLUNG,Maize,20420,72351,3.54,2076/77,2019/20
GANDAKI,BAGLUNG,Wheat,6384,16638,2.61,2076/77,2019/20
GANDAKI,NAWALPARASIEAST,Maize,4207,12892,3.06,2076/77,2019/20
GANDAKI,NAWALPARASIEAST,Wheat,8056,23785,2.95,2076/77,2019/20
LUMBINI,PALPA,Maize,21185,55766,2.63,2076/77,2019/20
LUMBINI,PALPA,Wheat,5744,15673,2.73,2076/77,2019/20
LUMBINI,GULMI,Maize,24451,63269,2.59,2076/77,2019/20
LUMBINI,GULMI,Wheat,6617,19586,2.96,2076/77,2019/20
LUMBINI,ARGHAKHANCHI,Maize,16041,51063,3.18,2076/77,2019/20
LUMBINI,ARGHAKHANCHI,Wheat,5451,16025,2.94,2076/77,2019/20
LUMBINI,NAWALPARASIWEST,Maize,4968,15345,3.09,2076/77,2019/20
LUMBINI,NAWALPARASIWEST,Wheat,8616,24985,2.9,2076/77,2019/20
LUMBINI,RUPANDEHI,Maize,2639,10359,3.93,2076/77,2019/20
LUMBINI,RUPANDEHI,Wheat,26819,95497,3.56,2076/77,2019/20
LUMBINI,KAPILBASTU,Maize,2651,9938,3.75,2076/77,2019/20
LUMBINI,KAPILBASTU,Wheat,26118,103167,3.95,2076/77,2019/20
LUMBINI,DANG,Maize,26250,75081,2.86,2076/77,2019/20
LUMBINI,DANG,Wheat,11783,32993,2.8,2076/77,2019/20
LUMBINI,BANKE,Maize,9336,25913,2.78,2076/77,2019/20
LUMBINI,BANKE,Wheat,17840,68428,3.84,2076/77,2019/20
LUMBINI,BARDIYA,Maize,2758,8112,2.94,2076/77,2019/20
LUMBINI,BARDIYA,Wheat,17711,69043,3.9,2076/77,2019/20
LUMBINI,RUKUMEAST,Maize,8154,21148,2.59,2076/77,2019/20
LUMBINI,RUKUMEAST,Wheat,5173,14485,2.8,2076/77,2019/20
LUMBINI,PYUTHAN,Maize,11306,27986,2.48,2076/77,2019/20
LUMBINI,PYUTHAN,Wheat,7951,23693,2.98,2076/77,2019/20
LUMBINI,ROLPA,Maize,13438,34482,2.57,2076/77,2019/20
LUMBINI,ROLPA,Wheat,8407,24884,2.96,2076/77,2019/20
KARNALI,DOLPA,Maize,2354,3729,1.58,2076/77,2019/20
KARNALI,DOLPA,Wheat,2779,5114,1.84,2076/77,2019/20
KARNALI,MUGU,Maize,589,941,1.6,2076/77,2019/20
KARNALI,MUGU,Wheat,3201,3986,1.25,2076/77,2019/20
KARNALI,HUMLA,Maize,146,266,1.82,2076/77,2019/20
KARNALI,HUMLA,Wheat,941,1362,1.45,2076/77,2019/20
KARNALI,JUMLA,Maize,4404,6858,1.56,2076/77,2019/20
KARNALI,JUMLA,Wheat,2271,5396,2.38,2076/77,2019/20
KARNALI,KALIKOT,Maize,3030,6973,2.3,2076/77,2019/20
KARNALI,KALIKOT,Wheat,4953,6797,1.37,2076/77,2019/20
KARNALI,RUKUMWEST,Maize,10591,21452,2.03,2076/77,2019/20
KARNALI,RUKUMWEST,Wheat,5673,15772,2.78,2076/77,2019/20
KARNALI,SALYAN,Maize,20005,49386,2.47,2076/77,2019/20
KARNALI,SALYAN,Wheat,13992,43375,3.1,2076/77,2019/20
KARNALI,JAJARKOT,Maize,14047,37262,2.65,2076/77,2019/20
KARNALI,JAJARKOT,Wheat,13774,29201,2.12,2076/77,2019/20
KARNALI,DAILEKH,Maize,21512,54527,2.53,2076/77,2019/20
KARNALI,DAILEKH,Wheat,17497,42868,2.45,2076/77,2019/20
KARNALI,SURKHET,Maize,15011,43844,2.92,2076/77,2019/20
KARNALI,SURKHET,Wheat,13941,42425,3.04,2076/77,2019/20
SUDURPASHCHIM,BAJURA,Maize,914,1460,1.6,2076/77,2019/20
SUDURPASHCHIM,BAJURA,Wheat,6660,9324,1.4,2076/77,2019/20
SUDURPASHCHIM,BAJHANG,Maize,4186,5859,1.4,2076/77,2019/20
SUDURPASHCHIM,BAJHANG,Wheat,10187,15571,1.53,2076/77,2019/20
SUDURPASHCHIM,DARCHULA,Maize,5799,13423,2.31,2076/77,2019/20
SUDURPASHCHIM,DARCHULA,Wheat,6580,14213,2.16,2076/77,2019/20
SUDURPASHCHIM,ACHHAM,Maize,6540,17697,2.71,2076/77,2019/20
SUDURPASHCHIM,ACHHAM,Wheat,14419,30714,2.13,2076/77,2019/20
SUDURPASHCHIM,DOTI,Maize,3474,8712,2.51,2076/77,2019/20
SUDURPASHCHIM,DOTI,Wheat,12328,27482,2.23,2076/77,2019/20
SUDURPASHCHIM,BAITADI,Maize,14999,29005,1.93,2076/77,2019/20
SUDURPASHCHIM,BAITADI,Wheat,19497,41334,2.12,2076/77,2019/20
SUDURPASHCHIM,DADELDHURA,Maize,3811,13491,3.54,2076/77,2019/20
SUDURPASHCHIM,DADELDHURA,Wheat,9009,22073,2.45,2076/77,2019/20
SUDURPASHCHIM,KAILALI,Maize,6405,18691,2.92,2076/77,2019/20
SUDURPASHCHIM,KAILALI,Wheat,35950,140545,3.91,2076/77,2019/20
SUDURPASHCHIM,KANCHANPUR,Maize,3271,8959,2.74,2076/77,2019/20
SUDURPASHCHIM,KANCHANPUR,Wheat,34554,133032,3.85,2076/77,2019/20
KOSHI,TAPLEJUNG,Millet,3008,4181,1.39,2076/77,2019/20
KOSHI,TAPLEJUNG,Barley,270,402,1.49,2076/77,2019/20
KOSHI,TAPLEJUNG,Buckwheat,103,140,1.36,2076/77,2019/20
KOSHI,SANKHUWASABHA,Millet,6361,8029,1.26,2076/77,2019/20
KOSHI,SANKHUWASABHA,Barley,13,17,1.31,2076/77,2019/20
KOSHI,SANKHUWASABHA,Buckwheat,18,18,1.01,2076/77,2019/20
KOSHI,SOLUKHUMBU,Millet,1827,2460,1.35,2076/77,2019/20
KOSHI,SOLUKHUMBU,Barley,165,193,1.17,2076/77,2019/20
KOSHI,SOLUKHUMBU,Buckwheat,297,288,0.97,2076/77,2019/20
KOSHI,PANCHTHAR,Millet,4550,8432,1.85,2076/77,2019/20
KOSHI,PANCHTHAR,Barley,305,446,1.46,2076/77,2019/20
KOSHI,PANCHTHAR,Buckwheat,62,49,0.79,2076/77,2019/20
KOSHI,ILLAM,Millet,1782,2406,1.35,2076/77,2019/20
KOSHI,ILLAM,Barley,52,64,1.24,2076/77,2019/20
KOSHI,ILLAM,Buckwheat,28,33,1.18,2076/77,2019/20
KOSHI,TERHATHUM,Millet,2603,3269,1.26,2076/77,2019/20
KOSHI,TERHATHUM,Barley,64,85,1.33,2076/77,2019/20
KOSHI,TERHATHUM,Buckwheat,23,22,0.94,2076/77,2019/20
KOSHI,DHANKUTA,Millet,7530,9421,1.25,2076/77,2019/20
KOSHI,DHANKUTA,Barley,N/A,N/A,N/A,2076/77,2019/20
KOSHI,DHANKUTA,Buckwheat,7,7,0.92,2076/77,2019/20
KOSHI,BHOJPUR,Millet,5429,6980,1.29,2076/77,2019/20
KOSHI,BHOJPUR,Barley,12,17,1.43,2076/77,2019/20
KOSHI,BHOJPUR,Buckwheat,35,32,0.89,2076/77,2019/20
KOSHI,KHOTANG,Millet,23535,26496,1.13,2076/77,2019/20
KOSHI,KHOTANG,Barley,350,529,1.51,2076/77,2019/20
KOSHI,KHOTANG,Buckwheat,580,537,0.93,2076/77,2019/20
KOSHI,OKHALDHUNGA,Millet,7585,14361,1.89,2076/77,2019/20
KOSHI,OKHALDHUNGA,Barley,80,106,1.32,2076/77,2019/20
KOSHI,OKHALDHUNGA,Buckwheat,91,90,0.99,2076/77,2019/20
KOSHI,UDAYAPUR,Millet,2963,5589,1.89,2076/77,2019/20
KOSHI,UDAYAPUR,Barley,25,39,1.54,2076/77,2019/20
KOSHI,UDAYAPUR,Buckwheat,16,17,1.06,2076/77,2019/20
KOSHI,JHAPA,Millet,1153,1495,1.3,2076/77,2019/20
KOSHI,JHAPA,Barley,5,9,1.87,2076/77,2019/20
KOSHI,JHAPA,Buckwheat,1110,1353,1.22,2076/77,2019/20
KOSHI,MORANG,Millet,1218,1507,1.24,2076/77,2019/20
KOSHI,MORANG,Barley,N/A,N/A,N/A,2076/77,2019/20
KOSHI,MORANG,Buckwheat,62,69,1.12,2076/77,2019/20
KOSHI,SUNSARI,Millet,499,575,1.15,2076/77,2019/20
KOSHI,SUNSARI,Barley,11,24,2.25,2076/77,2019/20
KOSHI,SUNSARI,Buckwheat,291,306,1.05,2076/77,2019/20
MADHESH,SAPTARI,Millet,181,227,1.25,2076/77,2019/20
MADHESH,SAPTARI,Barley,N/A,N/A,N/A,2076/77,2019/20
MADHESH,SAPTARI,Buckwheat,N/A,N/A,N/A,2076/77,2019/20
