Province     , District        , Crop     , Area_Ha, Production_Mt, Yield_MtHa, Year_BS, Year_AD
KARNALI      , SURKHET         , Barley   , 929    , 1420         , 1.53      , 2075/76, 2018/19
KARNALI      , SURKHET         , Buckwheat, N/A    , N/A          , N/A       , 2075/76, 2018/19
SUDURPASHCHIM, BAJURA          , Millet   , 2545   , 2588         , 1.02      , 2075/76, 2018/19
SUDURPASHCHIM, BAJURA          , Barley   , 955    , 958          , 1.0       , 2075/76, 2018/19
SUDURPASHCHIM, BAJURA          , Buckwheat, 7      , 11           , 1.55      , 2075/76, 2018/19
SUDURPASHCHIM, BAJHANG         , Millet   , 2736   , 2057         , 0.75      , 2075/76, 2018/19
SUDURPASHCHIM, BAJHANG         , Barley   , 3971   , 2943         , 0.74      , 2075/76, 2018/19
SUDURPASHCHIM, BAJHANG         , Buckwheat, 6      , 7            , 1.18      , 2075/76, 2018/19
SUDURPASHCHIM, DARCHULA        , Millet   , 1374   , 1133         , 0.82      , 2075/76, 2018/19
SUDURPASHCHIM, DARCHULA        , Barley   , 1069   , 866          , 0.81      , 2075/76, 2018/19
SUDURPASHCHIM, DARCHULA        , Buckwheat, 92     , 95           , 1.03      , 2075/76, 2018/19
SUDURPASHCHIM, ACHHAM          , Millet   , 3430   , 3840         , 1.12      , 2075/76, 2018/19
SUDURPASHCHIM, ACHHAM          , Barley   , 446    , 544          , 1.22      , 2075/76, 2018/19
SUDURPASHCHIM, ACHHAM          , Buckwheat, N/A    , N/A          , N/A       , 2075/76, 2018/19
SUDURPASHCHIM, DOTI            , Millet   , 4577   , 4933         , 1.08      , 2075/76, 2018/19
SUDURPASHCHIM, DOTI            , Barley   , 187    , 175          , 0.94      , 2075/76, 2018/19
SUDURPASHCHIM, DOTI            , Buckwheat, 12     , 11           , 0.95      , 2075/76, 2018/19
SUDURPASHCHIM, BAITADI         , Millet   , 352    , 408          , 1.16      , 2075/76, 2018/19
SUDURPASHCHIM, BAITADI         , Barley   , 885    , 599          , 0.68      , 2075/76, 2018/19
SUDURPASHCHIM, BAITADI         , Buckwheat, N/A    , N/A          , N/A       , 2075/76, 2018/19
SUDURPASHCHIM, DADELDHURA      , Millet   , 259    , 304          , 1.18      , 2075/76, 2018/19
SUDURPASHCHIM, DADELDHURA      , Barley   , 175    , 238          , 1.36      , 2075/76, 2018/19
SUDURPASHCHIM, DADELDHURA      , Buckwheat, N/A    , N/A          , N/A       , 2075/76, 2018/19
SUDURPASHCHIM, KAILALI         , Millet   , 363    , 369          , 1.02      , 2075/76, 2018/19
SUDURPASHCHIM, KAILALI         , Barley   , 175    , 345          , 1.97      , 2075/76, 2018/19
SUDURPASHCHIM, KAILALI         , Buckwheat, 21     , 26           , 1.21      , 2075/76, 2018/19
SUDURPASHCHIM, KANCHANPUR      , Millet   , N/A    , N/A          , N/A       , 2075/76, 2018/19
SUDURPASHCHIM, KANCHANPUR      , Barley   , 8      , 10           , 1.25      , 2075/76, 2018/19
SUDURPASHCHIM, KANCHANPUR      , Buckwheat, N/A    , N/A          , N/A       , 2075/76, 2018/19
