Crop,N_samples,N_features_selected,LOYO_R2,LOYO_RMSE
Barley,364,5,0.1269247581786871,0.38274897139903047
Maize,384,44,0.49981185523149885,0.5924855040737054
Millet,352,5,0.21351571963828586,0.2248914787369744
Wheat,384,19,0.659721515114282,0.4704150506249804
