Crop,N_samples,N_features_selected,LOYO_R2,LOYO_RMSE
Barley,364,5,0.08807715531936866,0.391171534299722
Maize,384,49,0.44802143942986916,0.6224036588174013
Millet,352,5,0.17283267219677423,0.2306347070756655
Wheat,384,24,0.6899959681749155,0.44900133693293975
