Crop,N_samples,N_features_selected,LOYO_R2,LOYO_RMSE
Barley,364,29,0.15296933370843402,0.37699688587456387
Maize,384,44,0.3639242576215431,0.6681368864917295
Millet,352,9,0.16287772652186439,0.23201839887099796
Wheat,384,44,0.6273621320646313,0.49227463204811583
