District       , Year_AD, Year_BS, A00                   , A01                   , A02                   , A03                   , A04                   , A05                    , A06                   , A07                    , A08                    , A09                 , A10                 , A11                   , A12                   , A13                   , A14                   , A15                    , A16                   , A17                   , A18                  , A19                 , A20                  , A21                   , A22                  , A23                  , A24                    , A25                    , A26                    , A27                    , A28                    , A29                    , A30                   , A31                 , A32                    , A33                    , A34                  , A35                   , A36                   , A37                    , A38                    , A39                   , A40                   , A41                    , A42                 , A43                   , A44                   , A45                , A46                    , A47                 , A48                   , A49                    , A50                    , A51                    , A52                   , A53                   , A54                 , A55                  , A56                   , A57                   , A58                  , A59                  , A60                   , A61                   , A62                   , A63
ACHHAM         ,    2019, 2075/76, 0.014919796795704128  , -0.14345364651958398  , 0.17632037901923853   , -0.07417825862523722  , -0.02523044141587866  , -0.07258254172841719   , -0.11183311419065686  , 0.1889379748119966     , -0.033884398224445465  , 0.03585706573222183 , 0.04376354374677728 , 0.03159842200043178   , -0.26402098297106874  , -0.027635144467510833 , 0.06671545218200509   , -0.04837718619609577   , -0.13427557002786497  , 0.11883254741492003   , -0.10066153570401572 , -0.18797557659200673, -0.1082161930670626  , 0.026915434262787342  , 0.14130228029487413  , -0.09197668149320672 , 0.06565248637712637    , -0.029176065201560145  , -0.017686422669149843  , 0.035944506805569224   , -0.06686297540249522   , -0.026632107018433205  , 0.06793335601470388   , 0.23039498051615762 , 0.07837293018794611    , 0.01660211461539493    , -0.13122948892352426 , -0.03133315484900398  , -0.04246811068532391  , 0.02312051002465251    , 0.022776917891953588   , -0.04383490923179253  , 0.006672401049485079  , -0.03718174573885369   , -0.14402709693402826, 0.06259087877133192   , 0.12753549166024486   , 0.1405553542175993 , 0.003355556828913941   , 0.20764011344985034 , 0.011719129090985669  , 0.0617853954535849     , 0.06781437479370146    , 0.0007430446353112373  , 0.05975062237602035   , 0.029476365806684158  , 0.14126177124501257 , -0.09652728680897675 , -0.13428875400701715  , -0.07882200439161446  , -0.1398687457004167  , -0.1379575164861798  , 0.16429938458193175   , -0.053385271481962225 , 0.0274655934713762    , -0.12855052650894971
ACHHAM         ,    2020, 2076/77, 0.012852494892443344  , -0.12149157516127158  , 0.14685974791352885   , -0.0686085030867729   , 0.007240335405850568  , -0.026985197338436864  , -0.11595674622253496  , 0.1570576456662446     , -0.04744881847581077   , 0.038183931242538174, 0.04177818734727402 , 0.028347798459421064  , -0.27604741928224563  , -0.08146186041895725  , 0.05432970463960367   , -0.029980001584033616  , -0.16685286697886237  , 0.08908158776424012   , -0.062488282685053305, -0.17542157565042907, -0.08190129851949032 , 0.06512951513973121   , 0.09105574171880733  , -0.09354864127145708 , 0.09657398243273684    , -0.0017276220174678879 , -0.09247656735668007   , 0.014165563606215584   , -0.08696728431081169   , -0.011126079235363844  , 0.06332247342787015   , 0.18507211314436484 , 0.11143831576335579    , 0.03832347671269739    , -0.19948993805119053 , -0.017204311489083544 , -0.058030168224797556 , -0.022933615693431022  , -0.027363032504101204  , -0.026819955812717306 , -0.010300056926757402 , 0.018903794120398953   , -0.1485691648861078 , -0.003552088211786209 , 0.14763088981190584   , 0.1549806110544499 , -0.0037006228737535515 , 0.24465049943635694 , 0.015760187448648686  , 0.04870252931070526    , 0.05301739014563422    , -0.0068872534027587026 , 0.0885418074221337    , 0.09882490029304719   , 0.12377009534792599 , -0.13491780626795202 , -0.12440421312072857  , -0.0691909355901635   , -0.09878033025268904 , -0.10982971847818714 , 0.16454669179665482   , -0.059058363700058195 , 0.019989418324262986  , -0.0959144540583333
ACHHAM         ,    2022, 2078/79, 0.07866328549560266   , -0.06227074652942874  , 0.19479005458877305   , -0.06921493179110533  , -0.017570298590375934 , -0.07447329867727244   , -0.1521103378335354   , 0.16391716691407987    , -0.009197433126913634  , 0.004624310211895794, 0.08676935135344896 , 0.07070624191498276   , -0.22623305038055622  , -0.04324953682333809  , 0.05867927185752509   , 0.0036548129830292013  , -0.004138331407762615 , 0.043879062889095405  , -0.12026660881203614 , -0.15355669779177625, -0.15095639975752864 , 0.10261368718568305   , 0.13703996929838178  , -0.11254942358817972 , 0.0037755159760922458  , -0.06460014329323861   , -0.019960615291688192  , -0.01875805318017153   , -0.04435015712085425   , 0.045288446658860865   , 0.07149963674598986   , 0.12664645764312765 , 0.07889296280842627    , 0.09726780830760737    , -0.15594987598149293 , -0.05137848974473253  , -0.10900155822319768  , -0.03380095556589257   , -0.043106771667999255  , -0.03859836943833493  , 0.05896854786930563   , 0.0903969702689797     , -0.1078581128913805 , 0.16403230224320361   , 0.030137288586020987  , 0.16686040569383578, -0.012700308029845305  , 0.18989379627420838 , -0.007731422973824304 , -0.049804107735717515  , 0.01743288474553808    , -0.06623194628576551   , 0.07508525142557956   , 0.09907715959641729   , 0.1185392305948177  , -0.19083561037159982 , -0.052141320121899995 , -0.09215933287823745  , -0.1049277651992727  , -0.25259040868534427 , 0.11935180212461703   , -0.06511161566060703  , -0.011730645650790046 , -0.06248777506538969
ACHHAM         ,    2023, 2079/80, 0.0548916806210246    , -0.10102248493902675  , 0.1840000381662201    , -0.08801147175571195  , -0.02969223671538983  , -0.06031324486242111   , -0.11015718053152494  , 0.1834664592743557     , -0.03840234773025089   , 0.019096970409462375, 0.09107713336276321 , 0.04386080441413358   , -0.2600583653472741   , -0.054359288787956886 , 0.062328294702190715  , -0.005561706823864672  , -0.08637984499559864  , 0.06449968858555992   , -0.11259030072394603 , -0.15331962351090453, -0.11746405265976095 , 0.09907905262606391   , 0.1551367258542056   , -0.1384250943829004  , 0.040889161840931214   , -0.04906982111059731   , -0.005161840010632373  , 0.0029906630797225955  , -0.08248338389352337   , 0.03400341146200688    , 0.06988140678005143   , 0.15498375590098107 , 0.09311698126835333    , 0.08332829756059233    , -0.1477059095724589  , -0.03419107198818833  , -0.0637743438122925   , -0.03975384955508044   , -0.0029821248416228067 , -0.047895384669858626 , 0.05215788189535973   , 0.05444848253339659    , -0.13586740075496653, 0.14186554080380112   , 0.09092676974130735   , 0.16365532425836302, -0.008102008831934572  , 0.2241821378272379  , -0.023830148045184508 , -0.015933461602272027  , 0.033422485590061314   , -0.020323557090091596  , 0.0830799589284847    , 0.07164964982559512   , 0.10513734362864885 , -0.14670277692717518 , -0.06547521588978719  , -0.0855797442922777   , -0.11172549170566513 , -0.218890903983482   , 0.1350051456449643    , -0.03635591728947996  , -0.0076627258343414766, -0.0706649907328919
ACHHAM         ,    2024, 2080/81, 0.027296130075801204  , -0.15372271556832354  , 0.18589319507398355   , -0.09365334030986376  , -0.025436096367910555 , -0.07563930735636326   , -0.08837468706136142  , 0.19416253056683566    , -0.03241956890916523   , 0.04690812006175773 , 0.0751491966183774  , 0.04728787412174864   , -0.2694582608617504   , -0.041425376813551226 , 0.07612477736623584   , -0.013165372558022357  , -0.1293468360435436   , 0.09256080904806782   , -0.11828165693650163 , -0.1691770779738832 , -0.10107942127755443 , 0.06907766468659973   , 0.1597420746326416   , -0.12503522935330513 , 0.069810684575302      , -0.03405145191156247   , -0.017325012340545714  , 0.024727803535057064   , -0.10476731258813175   , -0.0017993086794459174 , 0.07622581531280646   , 0.18596039721011995 , 0.0926739869587651     , 0.03640575272440326    , -0.1250125821440313  , -0.01711405178399827  , -0.050164485056176635 , 0.0017257225593375522  , 0.025848378869467937   , -0.07071218335846945  , 0.021142225780170807  , -0.01518131643543517   , -0.15977752325532987, 0.12204350064371934   , 0.12074901965669513   , 0.15436689238799334, 0.006632289697418204   , 0.2293327675960141  , -0.022280287287203337 , 0.024090502852293312   , 0.06993603355273575    , 0.018835583128987324   , 0.06601967750947924   , 0.03638421290743204   , 0.11721430217867333 , -0.10358925875824337 , -0.10839220514843904  , -0.0664837274331694   , -0.12000726177083659 , -0.16574740763803916 , 0.15197404833845315   , -0.017210973249873036 , 0.0022213991147754285 , -0.1079170790304408
ARGHAKHANCHI   ,    2019, 2075/76, 0.037306732297364906  , -0.11665323183444186  , 0.16046135993353192   , -0.05245843012518974  , -0.011530960628457402 , -0.08365888352364595   , -0.13151383528759644  , 0.19760340819876424    , -0.016726231732117378  , 0.06186193528436552 , 0.06141819726256748 , 0.05811502207106706   , -0.30948151010059055  , 0.005542960874416235  , 0.022770839775562716  , -0.006183955445046836  , -0.13732046861481706  , 0.08743234245514427   , -0.09783687278135637 , -0.1621740374304146 , -0.1656460237271485  , 0.07985714053042939   , 0.19126942170527808  , -0.10645461052410503 , 0.04335741358655428    , -0.013801981093243178  , 0.00559424430926799    , 0.07119555158525313    , -0.08834407131757087   , 0.03297413043339067    , 0.07550470657974263   , 0.22260011556135878 , 0.08892133766519313    , -0.008015081124371543  , -0.08345080319621757 , -0.007700580279218654 , -0.08296204964508135  , 0.026739920088168757   , 0.08078819912951478    , -0.06114162942319295  , 0.00541615282811493   , -0.03706002117625513   , -0.16563532247896903, 0.15711451342080351   , 0.13095490872084015   , 0.11091484000890023, -0.023935860568446342  , 0.21935409176651643 , -0.03729894706544297  , 0.0717235906436098     , 0.0667794175085125     , 0.03366146222480378    , 0.04817126295858728   , -0.038722939056756854 , 0.18893592988916466 , -0.13039262762381035 , -0.11706167036155363  , -0.04552947884175809  , -0.11143439755561596 , -0.11127010109319942 , 0.15739398583472472   , -0.07327631159329152  , 0.03951465753299671   , -0.0929550396767934
ARGHAKHANCHI   ,    2020, 2076/77, 0.03922212463843369   , -0.10330170109710167  , 0.16292044453492494   , -0.0317791240522674   , 0.012253309351117249  , -0.05781357966532216   , -0.15341022945800206  , 0.1627753489323304     , -0.008469230413355757  , 0.08613714605176423 , 0.04969703919584982 , 0.042878976923998     , -0.3323217799591297   , -0.03201611519856589  , 0.00017144028716674036, -0.00797435942811701   , -0.1510845608769162   , 0.08357965824982645   , -0.09644659114433697 , -0.15293509004013736, -0.14366707105926452 , 0.11569505234367902   , 0.14521735538393035  , -0.11388572002613834 , 0.06081224096581623    , 0.025486457078810903   , -0.03708079299933054   , 0.041301671875701884   , -0.10107379923500327   , 0.04812142097088467    , 0.07312480274334944   , 0.2048496303436595  , 0.09349103634326608    , 0.0036743034629815523  , -0.14090259162605537 , -0.019607251855229754 , -0.09042507144367905  , -0.015962136377623958  , 0.03918882608945617    , -0.050024527941551496 , -0.004763727347113017 , 0.0022001816281327427  , -0.18279518440733059, 0.12070345165233635   , 0.13319920420325185   , 0.09870395818917051, -0.03830277086845168   , 0.24351049416576606 , -0.030082362383513486 , 0.06304103477342825    , 0.04209911350147772    , -0.010903962893388788  , 0.061437108100259645  , 0.015208644125638437  , 0.18617448929570987 , -0.18270326062781736 , -0.11242334743843266  , -0.03568058373328052  , -0.09993862286859488 , -0.11153815374196843 , 0.13168858807104075   , -0.06961565556034624  , 0.021585466403050407  , -0.04479387063751237
ARGHAKHANCHI   ,    2022, 2078/79, 0.07964765959018054   , 0.00044256288045854225, 0.17511818957143077   , 0.0013052198917845364 , 0.0006414306749944941 , -0.06745934122429292   , -0.18931820604656108  , 0.16355317386368823    , 0.009236525800899615   , 0.03118299968798187 , 0.07290374910714788 , 0.11924030558942111   , -0.2853260830310893   , -0.0015516306287816349, -0.02657087032503124  , 0.04664983089551495    , -0.024285025660707574 , 0.05150625841602071   , -0.11317526415289539 , -0.14134246325734445, -0.1986987076833811  , 0.1482422807389555    , 0.17156779059137464  , -0.11703966217819838 , -0.011838724352026556  , -0.02252227923246824   , 0.016311556582487775   , -0.024599004006013954  , -0.051720211779982254  , 0.08367606989832152    , 0.07045362352850855   , 0.14939848362628425 , 0.09147951338837214    , 0.0779713824439699     , -0.11753271501076173 , -0.031125793958660858 , -0.13606111178153704  , -0.015965836465858585  , -0.039507403591281555  , -0.050673216212197905 , 0.02971194486524769   , 0.08420659719106209    , -0.10545394424878549, 0.20337554540473768   , 0.02548169042886001   , 0.13138747074268883, -0.03609977447009879   , 0.21387846804677055 , -0.009100233882307516 , -0.021491140945743756  , 0.020918584046406296   , -0.08543384215950076   , 0.07460333144863557   , 0.04575478118007012   , 0.1430688743671973  , -0.22197930688759485 , -0.04274108979623822  , -0.05108782866724339  , -0.08036207783162201 , -0.1985240817972466  , 0.09852228170177153   , -0.10329950551048322  , 0.009329016760475272  , -0.039486413628611286
ARGHAKHANCHI   ,    2023, 2079/80, 0.07958640617349767   , -0.06854317420173177  , 0.17612181780806455   , -0.04325592966817283  , -0.025402617715634807 , -0.03620246004317204   , -0.13638104131863749  , 0.19134862966569702    , -0.030668734854141948  , 0.05136486735942609 , 0.10024157610692244 , 0.08105064056068258   , -0.31370955889856506  , -0.01347311553505341  , 0.0087809679982306    , 0.04655383231373011    , -0.057495276145660884 , 0.0609538671223309    , -0.11026650289018729 , -0.14863721001740685, -0.16894867885077283 , 0.15087756095572347   , 0.1884383313055811   , -0.1429465454457612  , 0.04005471824559105    , -0.0261531236078536    , 0.049619258733452756   , 0.005755484827649833   , -0.06956621197900875   , 0.06856810338010554    , 0.06732407869389163   , 0.15338483782989235 , 0.10249219124645689    , 0.050351688689478445   , -0.0970111075860178  , -0.027900080616863422 , -0.1134382493974082   , -0.03199582550545905   , 0.0005565167001284703  , -0.052634866708732554 , 0.030210766357075976  , 0.06372815436547245    , -0.12581474654826916, 0.23527774737629173   , 0.06852561834370377   , 0.1537780594839422 , -0.041989488191332316  , 0.2320713419571768  , -0.04710630610129051  , 0.00159225297280631    , 0.014268335504756603   , -0.01827559580693247   , 0.0958376121952166    , 0.011437046270358069  , 0.12008891709854778 , -0.1699185869109814  , -0.03002471717695613  , -0.060464372025126834 , -0.09601452595737826 , -0.20304268591596208 , 0.12167947817327184   , -0.06173457373113926  , 0.031599700695930336  , -0.052821431701217315
ARGHAKHANCHI   ,    2024, 2080/81, 0.07442378570070184   , -0.10536787680944469  , 0.18649448812744956   , -0.05497413046439552  , -0.013125274761589353 , -0.07059959677957955   , -0.13225801833320938  , 0.2025301740602934     , -0.024551101621682034  , 0.06218790410374344 , 0.0810031330110564  , 0.07952264737530682   , -0.31819886883110543  , -0.0087734363141599   , 0.01932101737110787   , 0.025228213162020695   , -0.07564547775348544  , 0.08572181335044965   , -0.1140999567710563  , -0.14299280673590956, -0.16014616643517943 , 0.13373504869479122   , 0.1977279430430817   , -0.13327728311653483 , 0.037777483541258504   , -0.016550697000168164  , 0.037736417874111305   , 0.02306971772830592    , -0.09159502291453117   , 0.06948927854881523    , 0.08839642659794929   , 0.17654149596378768 , 0.09782173778432333    , 0.030268258170091305   , -0.0769858040552217  , -0.0039898005194864365, -0.09825958131725221  , 0.003359259524287232   , 0.049540063296143466   , -0.07242211250064355  , 0.03398540332804072   , 0.0140286152758901     , -0.14978010089342048, 0.22034070535515599   , 0.10011982371639638   , 0.11964937931271533, -0.02610966057496243   , 0.23433233611939666 , -0.05984253292630364  , 0.029868229241197423   , 0.04411129900738075    , 0.0007099295429444357  , 0.0532977582437375    , -0.008777150111530982 , 0.1595952075866466  , -0.15348288239919028 , -0.0727164495662507   , -0.03201582251824003  , -0.1061516730464012  , -0.16676109450285354 , 0.135559138808481     , -0.059456963193614466 , 0.015387322700154082  , -0.047543568957531555
